"s_form","novel_id","background_context","vowel_carrier","full_carrier","s_carrier","s_punct","s_wav_index","s_sentence","pl_form","pl_carrier","pl_punct","pl_wav_index","pl_sentence","novelty","voicing","simple_pl_stim","simple_s_stim","animacyStatus","Trial","target","Practice","test_index","TargetSide","trial_index","NovelColor","order","expt_index","TargetLoc","DistractorLoc","AudioTarget","TargetImage","DistractorImage"
"book","!","house"," in the house","Can you find the  in the house","Can you find the ","?",65,"65. book... Can you find the book in the house?","books","Can you find the ","?",69,"69. books... Can you find the books in the house?","familiar","voiced","Can you find the  books?","Can you find the  book?","inanimate","p1","s","y",NA,NA,NA,NA,1,1,"(640,512)","(0,0)","65.wav","1_book_singular_left.png","1_book_plural_left.png"
"chair","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","!",67,"67. chair... Can you find the chair on the hill!","chairs","Can you find the ","!",71,"71. chairs... Can you find the chairs on the hill!","familiar","voiced","Can you find the  chairs!","Can you find the  chair!","inanimate","p2","pl","y",NA,NA,NA,NA,1,2,"(640,512)","(0,0)","71.wav","1_chair_plural_left.png","1_chair_singular_left.png"
"coat","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",66,"66. coat... Look at the coat in the tree!","coats","Look at the ","!",70,"70. coats... Look at the coats in the tree!","familiar","voiced","Look at the  coats!","Look at the  coat!","inanimate","p3","s","y",NA,NA,NA,NA,1,3,"(640,512)","(0,0)","66.wav","1_coat_singular_left.png","1_coat_plural_left.png"
"dog","!","couch"," on the couch","Look at the  on the couch","Look at the ","?",68,"68. dog... Look at the dog on the couch?","dogs","Look at the ","?",72,"72. dogs... Look at the dogs on the couch?","familiar","voiced","Look at the  dogs?","Look at the  dog?","animate","p4","pl","y",NA,NA,NA,NA,1,4,"(640,512)","(0,0)","72.wav","1_dog_plural_left.png","1_dog_singular_left.png"
"gip","2013-600","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",5,"5. gip... Can you find the gip on the hill?","gips","Can you find the ","?",13,"13. gips... Can you find the gips on the hill?","novel","voiceless","Can you find the  gips?","Can you find the  gip?","animate","1","pl","n",27,"l",30,"blue",1,5,"(320,512)","(960,512)","13.wav","1_gip_plural_right.png","1_gip_singular_left.png"
"egg","!","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",56,"56. egg... Can you find the egg on the couch?","eggs","Can you find the ","?",64,"64. eggs... Can you find the eggs on the couch?","familiar","voiced","Can you find the  eggs?","Can you find the  egg?","inanimate","2","s","n",5,"r",3,"!",1,6,"(960,512)","(320,512)","56.wav","1_egg_singular_left.png","1_egg_plural_right.png"
"plate","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",37,"37. plate... Can you find the plate on the hill?","plates","Can you find the ","?",45,"45. plates... Can you find the plates on the hill?","familiar","voiceless","Can you find the  plates?","Can you find the  plate?","inanimate","3","pl","n",15,"l",24,"!",1,7,"(320,512)","(960,512)","45.wav","1_plate_plural_right.png","1_plate_singular_left.png"
"deg","2048-600","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",20,"20. deg... Can you find the deg in the tree?","degs","Can you find the ","?",28,"28. degs... Can you find the degs in the tree?","novel","voiced","Can you find the  degs?","Can you find the  deg?","animate","4","s","n",17,"l",9,"red",1,8,"(320,512)","(960,512)","20.wav","1_deg_singular_right.png","1_deg_plural_left.png"
"teb","2061-600","couch"," on the couch","Look at the  on the couch","Look at the ","!",23,"23. teb... Look at the teb on the couch!","tebs","Look at the ","!",31,"31. tebs... Look at the tebs on the couch!","novel","voiced","Look at the  tebs!","Look at the  teb!","inanimate","5","pl","n",23,"r",28,"red",1,9,"(960,512)","(320,512)","31.wav","1_teb_plural_left.png","1_teb_singular_right.png"
"plate","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",37,"37. plate... Can you find the plate on the hill?","plates","Can you find the ","?",45,"45. plates... Can you find the plates on the hill?","familiar","voiceless","Can you find the  plates?","Can you find the  plate?","inanimate","6","s","n",15,"l",8,"!",1,10,"(320,512)","(960,512)","37.wav","1_plate_singular_right.png","1_plate_plural_left.png"
"ant","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",35,"35. ant... Look at the ant in the tree!","ants","Look at the ","!",43,"43. ants... Look at the ants in the tree!","familiar","voiceless","Look at the  ants!","Look at the  ant!","animate","7","pl","n",9,"r",21,"!",1,11,"(960,512)","(320,512)","43.wav","1_ant_plural_left.png","1_ant_singular_right.png"
"kib","2039-600","house"," in the house","Can you find the  in the house","Can you find the ","?",17,"17. kib... Can you find the kib in the house?","kibs","Can you find the ","?",25,"25. kibs... Can you find the kibs in the house?","novel","voiced","Can you find the  kibs?","Can you find the  kib?","animate","8","pl","n",19,"l",26,"red",1,12,"(320,512)","(960,512)","25.wav","1_kib_plural_right.png","1_kib_singular_left.png"
"nop","2034-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",8,"8. nop... Can you find the nop on the couch?","nops","Can you find the ","?",16,"16. nops... Can you find the nops on the couch?","novel","voiceless","Can you find the  nops?","Can you find the  nop?","inanimate","9","s","n",31,"r",16,"red",1,13,"(960,512)","(320,512)"," 8.wav","1_nop_singular_left.png","1_nop_plural_right.png"
"frog","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",51,"51. frog... Look at the frog in the tree!","frogs","Look at the ","!",59,"59. frogs... Look at the frogs in the tree!","familiar","voiced","Look at the  frogs!","Look at the  frog!","animate","10","s","n",3,"l",2,"!",1,14,"(320,512)","(960,512)","51.wav","1_frog_singular_right.png","1_frog_plural_left.png"
"pib","2064-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",24,"24. pib... Can you find the pib on the couch?","pibs","Can you find the ","?",32,"32. pibs... Can you find the pibs on the couch?","novel","voiced","Can you find the  pibs?","Can you find the  pib?","inanimate","11","pl","n",21,"r",27,"red",1,15,"(960,512)","(320,512)","32.wav","1_pib_plural_left.png","1_pib_singular_right.png"
"boat","!","hill"," on the hill","Look at the  on the hill","Look at the ","!",38,"38. boat... Look at the boat on the hill!","boats","Look at the ","!",46,"46. boats... Look at the boats on the hill!","familiar","voiceless","Look at the  boats!","Look at the  boat!","inanimate","12","s","n",13,"r",7,"!",1,16,"(960,512)","(320,512)","38.wav","1_boat_singular_left.png","1_boat_plural_right.png"
"bug","!","house"," in the house","Look at the  in the house","Look at the ","!",50,"50. bug... Look at the bug in the house!","bugs","Look at the ","!",58,"58. bugs... Look at the bugs in the house!","familiar","voiced","Look at the  bugs!","Look at the  bug!","animate","13","s","n",1,"l",1,"!",1,17,"(320,512)","(960,512)","50.wav","1_bug_singular_right.png","1_bug_plural_left.png"
"nop","2034-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",8,"8. nop... Can you find the nop on the couch?","nops","Can you find the ","?",16,"16. nops... Can you find the nops on the couch?","novel","voiceless","Can you find the  nops?","Can you find the  nop?","inanimate","14","pl","n",31,"l",32,"red",1,18,"(320,512)","(960,512)","16.wav","1_nop_plural_right.png","1_nop_singular_left.png"
"boat","!","hill"," on the hill","Look at the  on the hill","Look at the ","!",38,"38. boat... Look at the boat on the hill!","boats","Look at the ","!",46,"46. boats... Look at the boats on the hill!","familiar","voiceless","Look at the  boats!","Look at the  boat!","inanimate","15","pl","n",13,"r",23,"!",1,19,"(960,512)","(320,512)","46.wav","1_boat_plural_left.png","1_boat_singular_right.png"
"kib","2039-600","house"," in the house","Can you find the  in the house","Can you find the ","?",17,"17. kib... Can you find the kib in the house?","kibs","Can you find the ","?",25,"25. kibs... Can you find the kibs in the house?","novel","voiced","Can you find the  kibs?","Can you find the  kib?","animate","16","s","n",19,"r",10,"red",1,20,"(960,512)","(320,512)","17.wav","1_kib_singular_left.png","1_kib_plural_right.png"
"pib","2064-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",24,"24. pib... Can you find the pib on the couch?","pibs","Can you find the ","?",32,"32. pibs... Can you find the pibs on the couch?","novel","voiced","Can you find the  pibs?","Can you find the  pib?","inanimate","17","s","n",21,"l",11,"blue",1,21,"(320,512)","(960,512)","24.wav","1_pib_singular_right.png","1_pib_plural_left.png"
"duck","!","house"," in the house","Can you find the  in the house","Can you find the ","?",33,"33. duck... Can you find the duck in the house?","ducks","Can you find the ","?",41,"41. ducks... Can you find the ducks in the house?","familiar","voiceless","Can you find the  ducks?","Can you find the  duck?","animate","18","pl","n",11,"l",22,"!",1,22,"(320,512)","(960,512)","41.wav","1_duck_plural_right.png","1_duck_singular_left.png"
"ant","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",35,"35. ant... Look at the ant in the tree!","ants","Look at the ","!",43,"43. ants... Look at the ants in the tree!","familiar","voiceless","Look at the  ants!","Look at the  ant!","animate","19","s","n",9,"r",5,"!",1,23,"(960,512)","(320,512)","35.wav","1_ant_singular_left.png","1_ant_plural_right.png"
"teb","2061-600","couch"," on the couch","Look at the  on the couch","Look at the ","!",23,"23. teb... Look at the teb on the couch!","tebs","Look at the ","!",31,"31. tebs... Look at the tebs on the couch!","novel","voiced","Look at the  tebs!","Look at the  teb!","inanimate","20","s","n",23,"r",12,"red",1,24,"(960,512)","(320,512)","23.wav","1_teb_singular_left.png","1_teb_plural_right.png"
